,invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,revenue,net_profit,region
1,2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-08-03,1900-01-01 10:29:00,Cash,9.6,0.48,76.39999999999999,36.67,South Texas
8,9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-10-01,1900-01-01 17:15:00,Credit card,7.2,0.33,72.52,23.93,DFW Metroplex
9,10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,1900-01-01 13:27:00,Credit card,5.9,0.33,164.52,54.29,Greater Houston
10,11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-06-02,1900-01-01 18:07:00,Ewallet,4.5,0.48,57.92,27.8,DFW Metroplex
11,12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-09-03,1900-01-01 17:03:00,Cash,6.8,0.48,102.04,48.98,West Texas
12,13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-12-02,1900-01-01 10:25:00,Ewallet,7.1,0.48,234.75,112.68,West Texas
18,19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,1900-01-01 18:00:00,Credit card,8.6,0.57,164.01,93.49,Greater Houston
19,20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-11-03,1900-01-01 15:30:00,Ewallet,4.4,0.48,80.6,38.69,DFW Metroplex
21,22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-05-03,1900-01-01 10:40:00,Ewallet,5.1,0.33,263.94,87.1,DFW Metroplex
22,23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,1900-01-01 12:20:00,Credit card,4.4,0.33,66.4,21.91,DFW Metroplex
23,24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,1900-01-01 11:15:00,Ewallet,9.9,0.33,172.8,57.02,DFW Metroplex
24,25,WALM023,Midland,Sports and travel,88.63,3.0,2019-02-03,1900-01-01 17:36:00,Ewallet,6.0,0.48,265.89,127.63,West Texas
26,27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-08-02,1900-01-01 15:31:00,Cash,6.7,0.33,33.52,11.06,DFW Metroplex
27,28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-10-03,1900-01-01 12:17:00,Credit card,7.7,0.48,175.34,84.16,Central Texas
29,30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,1900-01-01 15:36:00,Cash,7.4,0.33,224.01,73.92,Central Texas
33,34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,1900-01-01 10:12:00,Credit card,5.1,0.18,193.16,34.77,South Texas
35,36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-07-01,1900-01-01 12:28:00,Ewallet,6.8,0.33,68.12,22.48,West Texas
39,40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,1900-01-01 13:01:00,Cash,7.7,0.48,240.96,115.66,DFW Metroplex
40,41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,1900-01-01 18:45:00,Ewallet,7.9,0.48,86.72,41.63,Greater Houston
